state,legal_sticks_000,illegal_sticks_000,total_sticks_000,incidence_percent,risk_level,excise_loss_rm_000,sales_tax_loss_rm_000,total_tax_loss_rm_000,population_000,tax_loss_per_capita_rm
Johor,99921,132262,232183,57.0,MEDIUM RISK,52904.8,5290.4800000000005,58195.280000000006,3781,15.391504892885482
Selangor,126852,102534,229386,44.7,LOW RISK,41013.600000000006,4101.360000000001,45114.96000000001,6538,6.900422147445703
Pahang,22126,92479,114606,80.7,HIGH RISK,36991.6,3699.16,40690.759999999995,1691,24.063134240094616
Sabah,18884,70680,89564,78.9,HIGH RISK,28272.0,2827.2000000000003,31099.2,3418,9.098654183733178
Sarawak,16347,66596,82943,80.3,HIGH RISK,26638.4,2663.84,29302.24,2453,11.945470852017937
WP KL,60117,43776,103893,42.1,LOW RISK,17510.4,1751.0400000000002,19261.440000000002,1982,9.718183652875885
Penang,36144,33129,69273,47.8,LOW RISK,13251.6,1325.16,14576.76,1767,8.24943972835314
Terengganu,10149,24272,34422,70.5,HIGH RISK,9708.800000000001,970.8800000000001,10679.68,1249,8.55058446757406
Melaka,18453,23713,42166,56.2,MEDIUM RISK,9485.2,948.5200000000001,10433.720000000001,932,11.194978540772533
Kelantan,14253,21622,35874,60.3,MEDIUM RISK,8648.800000000001,864.8800000000001,9513.68,1906,4.9914375655823715
Perak,38248,19048,57296,33.2,LOW RISK,7619.200000000001,761.9200000000001,8381.12,2507,3.3430873554048666
N.Sembilan,25263,18331,43594,42.0,LOW RISK,7332.400000000001,733.2400000000001,8065.64,1129,7.144056687333924
Kedah,20617,9878,30495,32.4,LOW RISK,3951.2000000000003,395.12000000000006,4346.320000000001,2178,1.9955555555555557
Perlis,2945,2112,5057,41.8,LOW RISK,844.8000000000001,84.48000000000002,929.2800000000001,255,3.6442352941176472
