,A,,,
,"Jan, 2024",,,
,"Total
Illegal","Fake Tax
Stamp","Smuggled
Whites","Smuggled
Kretek"
Pahang,80.7,13.6 52.2 14.9,,
Sarawak,80.3,0.0 71.7 8.6,,
Sabah,78.9,0.0 76.2 2.7,,
Terengganu,70.5,13.2 54.0 3.3,,
Kelantan,60.3,0.3 59.4 0.6,,
Johor,57.0,21.8 30.0 5.2,,
Melaka,56.2,32.0 21.4 2.8,,
Penang,47.8,5.9 39.0 2.9,,
Selangor,44.7,6.3 26.3 12.1,,
WP KL,42.1,1.0 28.0 13.1,,
N.Sembilan,42.0,24.7 15.9 1.4,,
Perlis,41.8,0.8 36.8 4.2,,
Perak,33.2,12.5 19.7 1.0,,
Kedah,32.4,8.8 23.4 0.2,,
"National
Incidence",56.4,10.6 38.5 7.3,,
