STATE,DISTRICT COVERED,,
Perlis,Kangar,,
Kedah,Kuala Muda,Kota Setar,Kulim
,Kubang Pasu,Baling,Pendang
Penang,Timur Laut,Seberang Perai Tengah,Seberang Perai Utara
Perak,Kinta,Larut & Matang,Manjung
,Hilir Perak,Kerian,
Selangor,Petaling,Ulu Langat,Klang
,Gombak,Kuala Langat,
WP KL,Spread across KL,,
N. Sembilan,Seremban,Jempol,Port Dickson
,Tampin,,
Melaka,Melaka,Alor Gajah,
Johor,Johor Bahru,Batu Pahat,Kluang
,Kulai Jaya,Muar,Kota Tinggi
Pahang,Kuantan,Temerloh,Bentong
,Maran,Rompin,Pekan
Terengganu,Kuala Terengganu,Kemaman,Dungun
,Besut,,
Kelantan,Kota Bharu,Pasir Mas,Tumpat
,Bachok,Tanah Merah,
Sabah,Kota Kinabau,Tawau,Sandakan
,Lahad Datu,Keningau,Semporna
,Papar,Penampang,Beluran
,Tuaran,Ranau,Kota Belud
Sarawak,Kuching,Miri,Sibu
,Bintulu,Serian,Samarahan
,Sri Aman,Sarikei,Kapit
,Bau,Limbang,Saratok
