,IN-MARKET SALES BY CMTM,"STATE’S LEGAL VOLUME
CONTRIBUTION","PROJECTED/
ESTIMATED
STATE LEGAL VOLUME"
PERLIS,"3,404",0.6%,"2,945"
KEDAH,"23,828",4.0%,"20,617"
PENANG,"41,773",7.1%,"36,144"
PERAK,"44,205",7.5%,"38,248"
SELANGOR,"146,608",24.9%,"126,852"
WP KL,"69,480",11.8%,"60,117"
N.SEMBILAN,"29,197",5.0%,"25,263"
MELAKA,"21,327",3.6%,"18,453"
JOHOR,"115,482",19.6%,"99,921"
PAHANG,"25,572",4.3%,"22,126"
TERENGGANU,"11,730",2.0%,"10,149"
KELANTAN,"16,472",2.8%,"14,253"
SABAH,"21,824",3.7%,"18,884"
SARAWAK,"18,892",3.2%,"16,347"
NATIONAL,"589,794",,"510,319"
