,STATE LEGAL VOLUME,LEGAL INCIDENCE,TOTAL MARKET VOLUME,STATE ILLEGAL VOLUME
PERLIS,"2,945",58.2%,"5,057","2,112"
KEDAH,"20,617",67.6%,"30,495","9,878"
PENANG,"36,144",52.2%,"69,273","33,129"
PERAK,"38,248",66.8%,"57,296","19,048"
SELANGOR,"126,852",55.3%,"229,386","102,534"
WP KL,"60,117",57.9%,"103,893","43,776"
N.SEMBILAN,"25,263",58.0%,"43,594","18,331"
MELAKA,"18,453",43.8%,"42,166","23,713"
JOHOR,"99,921",43.0%,"232,183","132,262"
PAHANG,"22,126",19.3%,"114,606","92,479"
TERENGGANU,"10,149",29.5%,"34,422","24,272"
KELANTAN,"14,253",39.7%,"35,874","21,622"
SABAH,"18,884",21.1%,"89,564","70,680"
SARAWAK,"16,347",19.7%,"82,943","66,596"
NATIONAL,"510,319",,"1,170,751","660,432"
